Episode 153: Score: 0, Total Reward: -10
Episode 154: Score: 3, Total Reward: 20
Episode 155: Score: 0, Total Reward: -10
Episode 156: Score: 0, Total Reward: -10
Episode 157: Score: 0, Total Reward: -10
Episode 158: Score: 3, Total Reward: 20
Episode 159: Score: 0, Total Reward: -10
Episode 160: Score: 0, Total Reward: -10
Episode 161: Score: 0, Total Reward: -10
Episode 162: Score: 0, Total Reward: -10
Episode 163: Score: 0, Total Reward: -10
Episode 164: Score: 5, Total Reward: 40
Episode 165: Score: 0, Total Reward: -10
Episode 166: Score: 1, Total Reward: 0
Episode 167: Score: 1, Total Reward: 0
Episode 168: Score: 0, Total Reward: -10
Episode 169: Score: 0, Total Reward: -10
Episode 170: Score: 0, Total Reward: -10
Episode 171: Score: 0, Total Reward: -10
Episode 172: Score: 0, Total Reward: -10
Episode 173: Score: 0, Total Reward: -10
Episode 174: Score: 0, Total Reward: -10
Episode 175: Score: 0, Total Reward: -10
Episode 176: Score: 0, Total Reward: -10
Episode 177: Score: 1, Total Reward: 0
Episode 178: Score: 0, Total Reward: -10
Episode 179: Score: 1, Total Reward: 0
Episode 180: Score: 2, Total Reward: 10
Episode 181: Score: 0, Total Reward: -10
Episode 182: Score: 0, Total Reward: -10
Episode 183: Score: 1, Total Reward: 0
Episode 184: Score: 0, Total Reward: -10
Episode 185: Score: 0, Total Reward: -10
Episode 186: Score: 1, Total Reward: 0
Episode 187: Score: 0, Total Reward: -10
Episode 188: Score: 0, Total Reward: -10
Episode 189: Score: 1, Total Reward: 0
Episode 190: Score: 2, Total Reward: 10
Episode 191: Score: 0, Total Reward: -10
Episode 192: Score: 1, Total Reward: 0
Episode 193: Score: 0, Total Reward: -10
Episode 194: Score: 1, Total Reward: 0
Episode 195: Score: 0, Total Reward: -10
Episode 196: Score: 1, Total Reward: 0
Episode 197: Score: 0, Total Reward: -10
Episode 198: Score: 0, Total Reward: -10
Episode 199: Score: 0, Total Reward: -10
Episode 200: Score: 0, Total Reward: -10
Episode 201: Score: 1, Total Reward: 0
Episode 202: Score: 0, Total Reward: -10
Episode 203: Score: 0, Total Reward: -10
Episode 204: Score: 0, Total Reward: -10
Episode 205: Score: 0, Total Reward: -10
Episode 206: Score: 0, Total Reward: -10
Episode 207: Score: 0, Total Reward: -10
Episode 208: Score: 0, Total Reward: -10
Episode 209: Score: 1, Total Reward: 0
Episode 210: Score: 2, Total Reward: 10
Episode 211: Score: 0, Total Reward: -10
Episode 212: Score: 1, Total Reward: 0
Episode 213: Score: 0, Total Reward: -10
Episode 214: Score: 0, Total Reward: -10
Episode 215: Score: 0, Total Reward: -10
Episode 216: Score: 0, Total Reward: -10
Episode 217: Score: 0, Total Reward: -10
Episode 218: Score: 1, Total Reward: 0
Episode 219: Score: 2, Total Reward: 10
Episode 220: Score: 0, Total Reward: -10
Episode 221: Score: 1, Total Reward: 0
Episode 222: Score: 0, Total Reward: -10
Episode 223: Score: 0, Total Reward: -10
Episode 224: Score: 2, Total Reward: 10
Episode 225: Score: 1, Total Reward: 0
Episode 226: Score: 1, Total Reward: 0
Episode 227: Score: 0, Total Reward: -10
Episode 228: Score: 0, Total Reward: -10
Episode 229: Score: 0, Total Reward: -10
Episode 230: Score: 0, Total Reward: -10
Episode 231: Score: 0, Total Reward: -10
Episode 232: Score: 0, Total Reward: -10
Episode 233: Score: 3, Total Reward: 20
Episode 234: Score: 2, Total Reward: 10
Episode 235: Score: 1, Total Reward: 0
Episode 236: Score: 0, Total Reward: -10
Episode 237: Score: 0, Total Reward: -10
Episode 238: Score: 0, Total Reward: -10
Episode 239: Score: 0, Total Reward: -10
Episode 240: Score: 1, Total Reward: 0
Episode 241: Score: 0, Total Reward: -10
Episode 242: Score: 4, Total Reward: 30
Episode 243: Score: 0, Total Reward: -10
Episode 244: Score: 2, Total Reward: 10
Episode 245: Score: 1, Total Reward: 0
Episode 246: Score: 0, Total Reward: -10
Episode 247: Score: 0, Total Reward: -10
Episode 248: Score: 0, Total Reward: -10
Episode 249: Score: 1, Total Reward: 0
Episode 250: Score: 0, Total Reward: -10
Episode 251: Score: 1, Total Reward: 0
Episode 252: Score: 5, Total Reward: 40
Episode 253: Score: 0, Total Reward: -10
Episode 254: Score: 2, Total Reward: 10
Episode 255: Score: 2, Total Reward: 10
Episode 256: Score: 2, Total Reward: 10
Episode 257: Score: 3, Total Reward: 20
Episode 258: Score: 0, Total Reward: -10
Episode 259: Score: 0, Total Reward: -10
Episode 260: Score: 0, Total Reward: -10
Episode 261: Score: 2, Total Reward: 10
Episode 262: Score: 4, Total Reward: 30
Episode 263: Score: 4, Total Reward: 30
Episode 264: Score: 2, Total Reward: 10
Episode 265: Score: 6, Total Reward: 50
Episode 266: Score: 3, Total Reward: 20
Episode 267: Score: 0, Total Reward: -10
Episode 268: Score: 1, Total Reward: 0
Episode 269: Score: 0, Total Reward: -10
Episode 270: Score: 1, Total Reward: 0
Episode 271: Score: 2, Total Reward: 10
Episode 272: Score: 1, Total Reward: 0
Episode 273: Score: 1, Total Reward: 0
Episode 274: Score: 0, Total Reward: -10
Episode 275: Score: 5, Total Reward: 40
Episode 276: Score: 2, Total Reward: 10
Episode 277: Score: 4, Total Reward: 30
Episode 278: Score: 0, Total Reward: -10
Episode 279: Score: 4, Total Reward: 30
Episode 280: Score: 3, Total Reward: 20
Episode 281: Score: 2, Total Reward: 10
Episode 282: Score: 0, Total Reward: -10
Episode 283: Score: 0, Total Reward: -10
Episode 284: Score: 0, Total Reward: -10
Episode 285: Score: 0, Total Reward: -10
Episode 286: Score: 0, Total Reward: -10
Episode 287: Score: 0, Total Reward: -10
Episode 288: Score: 1, Total Reward: 0
Episode 289: Score: 4, Total Reward: 30
Episode 290: Score: 3, Total Reward: 20
Episode 291: Score: 4, Total Reward: 30
Episode 292: Score: 0, Total Reward: -10
Episode 293: Score: 0, Total Reward: -10
Episode 294: Score: 0, Total Reward: -10
Episode 295: Score: 3, Total Reward: 20
Episode 296: Score: 4, Total Reward: 30
Episode 297: Score: 0, Total Reward: -10
Episode 298: Score: 4, Total Reward: 30
Episode 299: Score: 0, Total Reward: -10
Episode 300: Score: 1, Total Reward: 0
Episode 301: Score: 0, Total Reward: -10
Episode 302: Score: 0, Total Reward: -10
Episode 303: Score: 1, Total Reward: 0
Episode 304: Score: 10, Total Reward: 90
Episode 305: Score: 6, Total Reward: 50
Episode 306: Score: 7, Total Reward: 60
Episode 307: Score: 2, Total Reward: 10
Episode 308: Score: 1, Total Reward: 0
Episode 309: Score: 4, Total Reward: 30
Episode 310: Score: 7, Total Reward: 60
Episode 311: Score: 4, Total Reward: 30
Episode 312: Score: 6, Total Reward: 50
Episode 313: Score: 1, Total Reward: 0
Episode 314: Score: 0, Total Reward: -10
Episode 315: Score: 4, Total Reward: 30
Episode 316: Score: 2, Total Reward: 10
Episode 317: Score: 7, Total Reward: 60
Episode 318: Score: 1, Total Reward: 0
Episode 319: Score: 0, Total Reward: -10
Episode 320: Score: 7, Total Reward: 60
Episode 321: Score: 6, Total Reward: 50
Episode 322: Score: 0, Total Reward: -10
Episode 323: Score: 0, Total Reward: -10
Episode 324: Score: 2, Total Reward: 10
Episode 325: Score: 6, Total Reward: 50
Episode 326: Score: 0, Total Reward: -10
Episode 327: Score: 0, Total Reward: -10
Episode 328: Score: 0, Total Reward: -10
Episode 329: Score: 0, Total Reward: -10
Episode 330: Score: 2, Total Reward: 10
Episode 331: Score: 4, Total Reward: 30
Episode 332: Score: 2, Total Reward: 10
Episode 333: Score: 0, Total Reward: -10
Episode 334: Score: 0, Total Reward: -10
Episode 335: Score: 0, Total Reward: -10
Episode 336: Score: 6, Total Reward: 50
Episode 337: Score: 1, Total Reward: 0
Episode 338: Score: 7, Total Reward: 60
Episode 339: Score: 6, Total Reward: 50
Episode 340: Score: 0, Total Reward: -10
Episode 341: Score: 1, Total Reward: 0
Episode 342: Score: 1, Total Reward: 0
Episode 343: Score: 5, Total Reward: 40
Episode 344: Score: 0, Total Reward: -10
Episode 345: Score: 5, Total Reward: 40
